VIN Prefix,VIN Model Year,Vehicle Name,Make,Model-full,Vehicle Manufacturer,Technology,Model Year,Date Added,Date Updated,VIN_Key,Vehicle Category,Vehicle Use Case,Vehicle Class,,Last Refresh Date
ZASPATAW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATAWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,8/28/2023 8:48
ZASPATCW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATCWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
ZASPATDW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATDWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
ZASPATSW,R,Alfa Romeo Tonale,Alfa Romeo,Tonale,Alfa Romeo,PHEV,2024,7/11/2023,7/11/2023,ZASPATSWR,Light-Duty (Class 1-2),SUV,"Class 1: <6,000 lbs",,
WAUTPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUTPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUMPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUMPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUSPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUSPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUNPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUNPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUVPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUVPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,G,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2016,9/21/2022,9/21/2022,WAUUPBFFG,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUUPBFF,H,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2017,9/21/2022,9/21/2022,WAUUPBFFH,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
WAUTPBFF,H,Audi A3 Plug In,Audi,A3 Plug In,Audi of America Inc.,PHEV,2017,9/21/2022,9/21/2022,WAUTPBFFH,Light-Duty (Class 1-2),Sedan,"Class 1: <6,000 lbs",,
