VIN-NR,MAKE-OF-CAR,MODEL-Short,MODEL-YEAR
4T1DZ1FB0LU043011,TOYT,AVA,2020
5UXTY3C05LLU69718,BMW ,X3 ,2020
1FTHE2423VHA07707,FORD,   ,1997
5TFTU4GN8BX001532,TOYT,   ,2011
3GTP1WE06BG368916,GMC ,   ,2011
3N1AB7AP5DL733756,NISS,SEN,2013
3GCUKSECXFG355756,CHEV,   ,2015
1G1ZF57539F204587,CHEV,MAL,2009
1FTJW36F0VEA00896,FORD,   ,1997
1FMCU9G96EUB12839,FORD,ESC,2014
1GKS1BKD1PR143440,GMC ,YUK,2023
1GTDC14H3CF701258,GMC ,   ,1982
WP0CA29981S652409,PORS,911,2001
5FNYF5H54LB002774,HOND,PIL,2020
1FDWF37P17EB07984,FORD,   ,2007
1FTRX17W91NA20237,FORD,   ,2001
KL4CJASB7GB657675,BUIC,ENC,2016
1V2JP2CA6MC561998,VOLK,ATL,2021
4UZABRDK8ACAN3509,FRHT,   ,2010
3GCUKREC6JG356159,CHEV,   ,2018
3MYDLBYV0HY170155,TOYT,YAR,2017
1G1ZC5ST3PF194901,CHEV,MAL,2023
1FDEE1461VHB97373,FORD,   ,1997
1GTDC14Z3RZ519639,GMC ,   ,1994
NM0LS7E7XH1307846,FORD,   ,2017
1GKEC16ZX2J313048,GMC ,YUK,2002
2FAHP71V99X136567,FORD,CRV,2009
3C63RRHL0KG533364,RAM ,   ,2019
WMWRH33537TL94771,MNNI,COO,2007
3D7KS28L59G563914,DODG,   ,2009
      VC57S236427,CHEV,   ,1957
1GNSKLED5PR399064,CHEV,   ,2023
3C6UR5DJ5KG621019,RAM ,   ,2019
1G6DP567950235912,CADI,CTS,2005
1GC1KWEY9JF167133,CHEV,   ,2018
1GCGSDEN3M1236033,CHEV,   ,2021
WP1AA2A51LLB06028,PORS,   ,2020
3GCUYAEF4LG223963,CHEV,   ,2020
1C4SDHCTXMC803761,DODG,DUR,2021
5TDKK3DC4FS644843,TOYT,SNA,2015
ZFBHRFAB3N6X97606,RAM ,   ,2022
5XXGT4L35LG442648,KIA ,OPT,2020
1B7HC16X7XS227835,DODG,   ,1999
5FNRL5H30GB105899,HOND,ODY,2016
1GCDC14H7PZ193154,CHEV,   ,1993
5TFRT54169X028159,TOYT,   ,2009
5NPDH4AE6DH427283,HYUN,ELA,2013
1B3CC4FB9AN136346,DODG,AVE,2010
3GCPWBEK6NG134873,CHEV,   ,2022
1FTSW31F1XEB61370,FORD,   ,1999
1GC1KVEY6HF163903,CHEV,   ,2017
1FT8W3DT9CEC85327,FORD,   ,2012
5J6RW1H85LA002390,HOND,CRV,2020
3GCNWAEH5KG179269,CHEV,   ,2019
1FTKR1AD3BPA18900,FORD,   ,2011
1FM5K7D8XGGC54496,FORD,XPL,2016
3D7TP2CT3AG186548,DODG,   ,2010
1V2ER2CA1LC503985,VOLK,ATL,2020
1GCEK19R5WR135762,CHEV,   ,1998
YV4H60CL7N1852674,VOLV,XC9,2022
4JGDA5JB4JB188163,MERZ,GLE,2018
SALJY1240XA563937,LNDR,   ,1999
3CZRU5H56MM700188,HOND,   ,2021
3C63RRGL8FG621540,RAM ,   ,2015
5N1AR2MN0DC635828,NISS,PTH,2013
5N1DR2MN2HC635090,NISS,   ,2017
2GKALMEK4E6117001,GMC ,TRN,2014
3C6UR5GL9KG637849,RAM ,   ,2019
5TFDY5F15LX952625,TOYT,   ,2020
5TDZK3DC1DS400000,TOYT,SNA,2013
1GNLC2E07ER120980,CHEV,TAH,2014
1GCCS194XW8187003,CHEV,   ,1998
JN1DV6AP7CM701247,INFI,G25,2012
5VCDC6BE94H200258,AUTC,   ,2004
1HTWCAAN57J483638,INTL,   ,2007
2G2WP552981185490,PONT,GRA,2008
JTHKD5BH2C2064142,LEXS,CT ,2012
1FTPW14VX7KD66054,FORD,   ,2007
3FTRF17W52MA21867,FORD,   ,2002
1GKDS13S882214964,GMC ,ENV,2008
1FTWF30528EE40001,FORD,   ,2008
1C4PJLCS9HW585695,JEEP,CHE,2017
1FTRX17WXYNB22205,FORD,   ,2000
KM8SC83D11U097938,HYUN,SFE,2001
KNADM5A37C6090399,KIA ,RIO,2012
1FTEW1CP1LKE02556,FORD,   ,2020
1GKS1BKC3HR349920,GMC ,YUK,2017
1GBLP37N6S3331201,WINN,   ,1996
JHMAP21495S001672,HOND,S20,2005
1GKS1CKJ2GR153437,GMC ,DEN,2016
1FMFU19587LA91378,FORD,EPD,2007
JN8AS5MT7DW543630,NISS,ROG,2013
1N4AL3AP7DN540243,NISS,ALT,2013
5TDKK3DC5DS315288,TOYT,SNA,2013
1HTWGAAR46J319206,INTL,   ,2006
JN8AY2NF0H9304611,NISS,   ,2017
4UZAAXBW21CH81842,FRHT,   ,2001
5XYKT3A68DG312202,KIA ,SOR,2013
1FTEW1EF1FKE33752,FORD,   ,2015
SHHFK7H6XKU202174,HOND,CIV,2019
3GKALPEV6NL101678,GMC ,TRN,2022
1FMCU0J93JUB04194,FORD,ESC,2018
1FM5K7B86FGA88382,FORD,   ,2015
4T4BF1FK2CR228117,TOYT,CAM,2012
KL1TG5DEXAB044452,CHEV,AVO,2010
1HVBBPEN4PH479285,INTL,   ,1993
1NKZX4TX4NJ152351,KW  ,   ,2022
5TEJU62N27Z323500,TOYT,   ,2007
3C6JR6DT0NG239768,RAM ,   ,2022
1HTKHPVK3MH875328,CHEV,   ,2021
